total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
60,30,0.2,0.2,5,3,0.97
60,30,0.2,0.8,5,3,0.9633
60,30,0.8,0.2,5,3,0.9033
60,30,0.8,0.8,5,3,0.89
60,50,0.2,0.2,5,3,0.9667
60,50,0.2,0.8,5,3,0.9267
60,50,0.8,0.2,5,3,0.92
60,50,0.8,0.8,5,3,0.8967
60,80,0.2,0.2,5,3,0.9467
60,80,0.2,0.8,5,3,0.93
60,80,0.8,0.2,5,3,0.86
60,80,0.8,0.8,5,3,0.8933
60,100,0.2,0.2,5,3,0.9333
60,100,0.2,0.8,5,3,0.93
60,100,0.8,0.2,5,3,0.8867
60,100,0.8,0.8,5,3,0.94
100,30,0.2,0.2,5,3,0.91
100,30,0.2,0.8,5,3,0.968
100,30,0.8,0.2,5,3,0.958
100,30,0.8,0.8,5,3,0.0
100,50,0.2,0.2,5,3,0.952
100,50,0.2,0.8,5,3,0.95
100,50,0.8,0.2,5,3,0.898
100,50,0.8,0.8,5,3,0.918
100,80,0.2,0.2,5,3,0.964
100,80,0.2,0.8,5,3,0.958
100,80,0.8,0.2,5,3,0.898
100,80,0.8,0.8,5,3,0.89
100,100,0.2,0.2,5,3,0.948
100,100,0.2,0.8,5,3,0.924
100,100,0.8,0.2,5,3,0.904
100,100,0.8,0.8,5,3,0.904
140,30,0.2,0.2,5,3,0.9457
140,30,0.2,0.8,5,3,0.0
140,30,0.8,0.2,5,3,0.9114
140,30,0.8,0.8,5,3,0.0
140,50,0.2,0.2,5,3,0.9614
140,50,0.2,0.8,5,3,0.9329
140,50,0.8,0.2,5,3,0.9157
140,50,0.8,0.8,5,3,0.0
140,80,0.2,0.2,5,3,0.9629
140,80,0.2,0.8,5,3,0.9629
140,80,0.8,0.2,5,3,0.9329
140,80,0.8,0.8,5,3,0.9086
140,100,0.2,0.2,5,3,0.9543
140,100,0.2,0.8,5,3,0.9629
140,100,0.8,0.2,5,3,0.9143
140,100,0.8,0.8,5,3,0.9114
